cod_mun;zona;esfera;baixa;media_baixa;media_alta;alta
1100015;Urbana;Estadual;0;60;40;0
1100015;Rural;Estadual;20;20;40;20
1100015;Urbana;Municipal;0;66,7;33,3;0
1100015;Rural;Municipal;12,5;12,5;62,5;12,5
1100015;Urbana;Privada;0;100;0;0
1100015;Urbana;Pública;0;64,3;35,7;0
1100015;Rural;Pública;16,7;16,7;50;16,6
1100023;Rural;Federal;0;0;100;0
1100023;Urbana;Estadual;0;50;50;0
1100023;Urbana;Municipal;0;10,5;63,2;26,3
1100023;Rural;Municipal;0;0;57,1;42,9
1100023;Urbana;Privada;20;50;30;0
1100023;Urbana;Pública;0;24,1;58,6;17,3
1100023;Rural;Pública;0;0;62,5;37,5
1100031;Urbana;Estadual;0;0;100;0
1100031;Rural;Estadual;0;0;100;0
1100031;Urbana;Municipal;25;0;50;25
1100031;Urbana;Pública;16,7;0;66,7;16,6
1100031;Rural;Pública;0;0;100;0
1100049;Urbana;Federal;0;0;100;0
1100049;Urbana;Estadual;0;26,7;73,3;0
1100049;Rural;Estadual;0;50;37,5;12,5
1100049;Urbana;Municipal;7,1;7,1;64,3;21,5
1100049;Rural;Municipal;0;70;20;10
1100049;Urbana;Privada;50;10;30;10
1100049;Rural;Privada;100;0;0;0
1100049;Urbana;Pública;3,3;16,7;70;10
1100049;Rural;Pública;0;61,1;27,8;11,1
1100056;Urbana;Estadual;0;0;100;0
1100056;Urbana;Municipal;0;14,3;71,4;14,3
1100056;Urbana;Privada;0;100;0;0
1100056;Urbana;Pública;0;8,3;83,3;8,4
1100064;Rural;Federal;0;100;0;0
1100064;Urbana;Estadual;0;0;100;0
1100064;Urbana;Municipal;0;0;100;0
1100064;Rural;Municipal;0;0;100;0
1100064;Urbana;Privada;0;0;100;0
1100064;Urbana;Pública;0;0;100;0
1100064;Rural;Pública;0;20;80;0
1100072;Urbana;Estadual;0;0;100;0
1100072;Rural;Estadual;0;50;50;0
1100072;Urbana;Municipal;0;0;100;0
1100072;Rural;Municipal;33,3;33,3;33,4;0
1100072;Urbana;Pública;0;0;100;0
1100072;Rural;Pública;20;40;40;0
1100080;Urbana;Estadual;0;66,7;33,3;0
1100080;Rural;Estadual;0;0;100;0
1100080;Urbana;Municipal;14,3;57,1;28,6;0
1100080;Rural;Municipal;0;0;66,7;33,3
1100080;Urbana;Privada;100;0;0;0
1100080;Urbana;Pública;10;60;30;0
1100080;Rural;Pública;0;0;75;25
1100098;Urbana;Estadual;0;71,4;28,6;0
1100098;Rural;Estadual;0;33,3;66,7;0
1100098;Urbana;Municipal;0;16,7;66,7;16,6
1100098;Rural;Municipal;0;0;100;0
1100098;Urbana;Privada;0;50;0;50
1100098;Urbana;Pública;0;46,2;46,2;7,6
1100098;Rural;Pública;0;22,2;77,8;0
1100106;Urbana;Estadual;0;100;0;0
1100106;Rural;Estadual;0;14,3;53,6;32,1
1100106;Urbana;Municipal;7,7;61,5;30,8;0
1100106;Urbana;Privada;0;20;80;0
1100106;Urbana;Pública;4,5;77,3;18,2;0
1100106;Rural;Pública;0;14,3;53,6;32,1
1100114;Urbana;Estadual;0;27,3;72,7;0
1100114;Rural;Estadual;0;0;0;100
1100114;Urbana;Municipal;21,4;50;28,6;0
1100114;Rural;Municipal;0;100;0;0
1100114;Urbana;Privada;0;80;20;0
1100114;Rural;Privada;100;0;0;0
1100114;Urbana;Pública;12;40;48;0
1100114;Rural;Pública;0;75;0;25
1100122;Urbana;Federal;0;100;0;0
1100122;Urbana;Estadual;0;26,7;73,3;0
1100122;Rural;Estadual;9,1;9,1;45,5;36,3
1100122;Urbana;Municipal;5,6;50;38,9;5,5
1100122;Rural;Municipal;0;0;55,6;44,4
1100122;Urbana;Privada;21,4;21,4;57,2;0
1100122;Rural;Privada;0;0;100;0
1100122;Urbana;Pública;2;36,7;59,2;2,1
1100122;Rural;Pública;5;5;50;40
1100130;Urbana;Estadual;0;60;40;0
1100130;Urbana;Municipal;0;100;0;0
1100130;Rural;Municipal;30,8;46,2;15,4;7,6
1100130;Urbana;Privada;0;0;100;0
1100130;Urbana;Pública;0;81,8;18,2;0
1100130;Rural;Pública;30,8;46,2;15,4;7,6
1100148;Urbana;Estadual;0;25;75;0
1100148;Urbana;Municipal;0;0;100;0
1100148;Rural;Municipal;0;0;66,7;33,3
1100148;Urbana;Privada;100;0;0;0
1100148;Urbana;Pública;0;14,3;85,7;0
1100148;Rural;Pública;0;0;66,7;33,3
1100155;Urbana;Estadual;0;57,1;42,9;0
1100155;Urbana;Municipal;0;9,1;90,9;0
1100155;Rural;Municipal;0;100;0;0
1100155;Urbana;Privada;0;33,3;66,7;0
1100155;Urbana;Pública;0;27,8;72,2;0
1100155;Rural;Pública;0;100;0;0
1100189;Urbana;Estadual;0;42,9;57,1;0
1100189;Rural;Estadual;0;0;100;0
1100189;Urbana;Municipal;0;0;71,4;28,6
1100189;Rural;Municipal;0;16,7;16,7;66,6
1100189;Urbana;Privada;33,3;33,3;33,4;0
1100189;Urbana;Pública;0;21,4;64,3;14,3
1100189;Rural;Pública;0;14,3;28,6;57,1
1100205;Urbana;Federal;0;0;100;0
1100205;Urbana;Estadual;0;14,1;85,9;0
1100205;Rural;Estadual;0;27,8;38,9;33,3
1100205;Urbana;Municipal;0;10,1;73,4;16,5
1100205;Rural;Municipal;1,9;27,8;40,7;29,6
1100205;Urbana;Privada;9,3;23,3;58,1;9,3
1100205;Rural;Privada;0;0;100;0
1100205;Urbana;Pública;0;11,7;79,3;9
1100205;Rural;Pública;1,4;27,8;40,3;30,5
1100254;Urbana;Estadual;0;25;50;25
1100254;Rural;Estadual;0;0;100;0
1100254;Urbana;Municipal;0;50;50;0
1100254;Rural;Municipal;60;20;20;0
1100254;Urbana;Privada;0;100;0;0
1100254;Urbana;Pública;0;33,3;50;16,7
1100254;Rural;Pública;50;16,7;33,3;0
1100262;Urbana;Estadual;0;0;100;0
1100262;Urbana;Municipal;0;0;100;0
1100262;Urbana;Pública;0;0;100;0
1100288;Urbana;Estadual;0;75;25;0
1100288;Urbana;Municipal;0;28,6;71,4;0
1100288;Rural;Municipal;0;0;0;100
1100288;Urbana;Privada;0;66,7;33,3;0
1100288;Urbana;Pública;0;57,9;42,1;0
