Código;Município;Região;UF
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100015;Alta Floresta D'Oeste;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100023;Ariquemes;Norte;RO
1100031;Cabixi;Norte;RO
1100031;Cabixi;Norte;RO
1100031;Cabixi;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100049;Cacoal;Norte;RO
1100056;Cerejeiras;Norte;RO
1100056;Cerejeiras;Norte;RO
1100056;Cerejeiras;Norte;RO
1100064;Colorado do Oeste;Norte;RO
1100064;Colorado do Oeste;Norte;RO
1100064;Colorado do Oeste;Norte;RO
1100064;Colorado do Oeste;Norte;RO
1100064;Colorado do Oeste;Norte;RO
1100064;Colorado do Oeste;Norte;RO
1100072;Corumbiara;Norte;RO
1100072;Corumbiara;Norte;RO
1100072;Corumbiara;Norte;RO
1100080;Costa Marques;Norte;RO
1100080;Costa Marques;Norte;RO
1100080;Costa Marques;Norte;RO
1100080;Costa Marques;Norte;RO
1100080;Costa Marques;Norte;RO
