cod;escola;zona;esfera
11024372;EMEIEF ANA NERY;Urbana;Municipal
11024666;EMEIEF BOA ESPERANCA;Rural;Municipal
11024828;EMEIEF IZIDORO STEDILE;Urbana;Municipal
11024917;EMEIEF JOSE BASILIO DA GAMA;Rural;Municipal
11025077;EMEIEF MARIA DE SOUZA PEGO;Urbana;Municipal
11025280;EMEIEF PADRE FEIJO;Urbana;Municipal
11025310;EMEIEF PEDRO ALEIXO;Urbana;Municipal
11025352;EMEIEF POTY;Rural;Municipal
11025638;EEEFM PADRE EZEQUIEL RAMIN;Urbana;Estadual
11037962;EIEEF KON KOATT TUPARI;Rural;Estadual
11038373;EIEEFM BOATT GERAINNY;Rural;Estadual
11046252;EIEEF ANOMAE TUPARI;Rural;Estadual
11006765;ESCOLA ADVENTISTA DE ARIQUEMES;Urbana;Privada
11006773;EEEFM CORA CORALINA;Urbana;Estadual
11006846;EEEF ALBINA MARCIO SORDI;Urbana;Estadual
11006854;EMEFM ALDEMIR LIMA CANTANHEDE;Urbana;Municipal
11006889;EEEFM ANISIO TEIXEIRA;Urbana;Estadual
11006900;EMEIEF ARCO-IRIS;Rural;Municipal
11007168;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;Urbana;Estadual
11007249;EMEIEF HENRIQUE DIAS;Rural;Municipal
11007281;EEEFM JARDIM DAS PEDRAS;Urbana;Estadual
11007346;EMEIEF JORGE LUIZ MOULAZ;Rural;Municipal
11007443;EMEIEF MAFALDA RODRIGUES;Rural;Municipal
11007524;EEEFM MIGRANTES;Urbana;Estadual
11007656;COLEGIO DINAMICO EDUCACAO BASICA;Urbana;Privada
11007702;EMEIEF PROF PEDRO LOUBACK;Urbana;Municipal
11007834;EMEIEF VINICIUS DE MORAES;Rural;Municipal
11007893;EEEFM RICARDO CANTANHEDE;Urbana;Estadual
11041986;EMEIEF PAULINA MAFINI;Rural;Municipal
11044462;CENTRO EDUCACIONAL MONTEIRO LOBATO;Urbana;Privada
11046023;COLEGIO AGAPE;Urbana;Privada
11048620;EEEFM PROFESSORA CARMEM IONE DE ARAUJO;Urbana;Estadual
11050233;EEEFM PROFESSORA QUITERIA DE OLIVEIRA DA SILVA;Rural;Estadual
11034050;EEEF CHICO MENDES;Rural;Estadual
11034270;EEEFM PLANALTO;Rural;Estadual
11034440;EEEFM JOSE DE ANCHIETA;Urbana;Estadual
11025670;CENTRO EDUCACIONAL MEMORINA ROSA CAMPOS;Urbana;Privada
11025999;EMEIEF ANITA GARIBALDI;Rural;Municipal
11026014;EEEFM ANTONIO GONCALVES DIAS;Urbana;Estadual
11026073;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;Urbana;Estadual
11026197;EEEFM CARLOS DRUMMOND DE ANDRADE;Urbana;Estadual
11026235;EMEIEF CLAUDIO MANOEL DA COSTA;Rural;Municipal
11026294;EMEIEF CRUZEIRO DO NORTE;Rural;Municipal
11026324;ESCOLA DANIEL BERG;Urbana;Privada
11026367;EMEIEF DR JOAO DE DEUS SIMPLICIO;Rural;Municipal
11026464;EEEF FREI CANECA;Urbana;Estadual
11026499;EEEFM GRACILIANO RAMOS;Urbana;Estadual
11026545;EEEFM HONORINA LUCAS DE BRITO;Urbana;Estadual
11026685;EMEIEF JOSE MAURO DE VASCONCELOS;Rural;Municipal
11026758;EEEFM MARIA AURORA DO NASCIMENTO;Urbana;Estadual
11026766;EMEIEF MARIA MONTESSORI;Rural;Municipal
11026812;EMEIEF MONTEIRO LOBATO;Rural;Municipal
11026936;EMEIEF PEDRO ALVARES CABRAL;Rural;Municipal
11026960;EMEIEF PRESIDENTE MEDICI;Rural;Municipal
11027088;EMEIEF SANTOS DUMONT;Rural;Municipal
11027142;EIEEFM SERTANISTA JOSE DO CARMO SANTANA;Rural;Estadual
11027290;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL ANTONIO SANCHEZ DE LARRAGOITI Y CURDUMI;Urbana;Privada
11027312;EEEFM BERNARDO GUIMARAES;Urbana;Estadual
11027320;EEEFM CARLOS GOMES;Urbana;Estadual
11027347;EEEFM CLODOALDO NUNES DE ALMEIDA;Urbana;Estadual
11027355;ESCOLA DE ENSINO FUNDAMENTAL E MEDIO FAMILIA AGRICOLA PE EZEQUIEL RAMIN;Rural;Privada
11027401;EEEFM CELSO FERREIRA DA CUNHA;Urbana;Estadual
11043342;EMEF MARIA SOCORRO VIANA DE ALMEIDA;Urbana;Municipal
