cod_mun;cod_escola;zona;esfera;horas_aula_9ano_2019
1100015;11024372;Urbana;Municipal;4
1100015;11024666;Rural;Municipal;4
1100015;11024828;Urbana;Municipal;4
1100015;11024917;Rural;Municipal;4
1100015;11025077;Urbana;Municipal;4
1100015;11025280;Urbana;Municipal;4
1100015;11025310;Urbana;Municipal;4
1100015;11025352;Rural;Municipal;4
1100015;11025638;Urbana;Estadual;4
1100015;11037962;Rural;Estadual;4
1100015;11038373;Rural;Estadual;4
1100015;11046252;Rural;Estadual;4
1100023;11006765;Urbana;Privada;5,3
1100023;11006773;Urbana;Estadual;4,2
1100023;11006846;Urbana;Estadual;4
1100023;11006854;Urbana;Municipal;4
1100023;11006889;Urbana;Estadual;4,2
1100023;11006900;Rural;Municipal;4,3
1100023;11007168;Urbana;Estadual;4
1100023;11007249;Rural;Municipal;4,3
1100023;11007281;Urbana;Estadual;4
1100023;11007346;Rural;Municipal;4,3
1100023;11007443;Rural;Municipal;4,3
1100023;11007524;Urbana;Estadual;4
1100023;11007656;Urbana;Privada;5,3
1100023;11007702;Urbana;Municipal;4,2
1100023;11007834;Rural;Municipal;4,3
1100023;11007893;Urbana;Estadual;4
1100023;11041986;Rural;Municipal;5,3
1100023;11044462;Urbana;Privada;4,3
1100023;11046023;Urbana;Privada;4,8
1100023;11048620;Urbana;Estadual;4
1100023;11050233;Rural;Estadual;4,3
1100031;11034050;Rural;Estadual;4
1100031;11034270;Rural;Estadual;4
1100031;11034440;Urbana;Estadual;4
1100049;11025670;Urbana;Privada;4,4
1100049;11025999;Rural;Municipal;4
1100049;11026014;Urbana;Estadual;4
1100049;11026073;Urbana;Estadual;4
1100049;11026197;Urbana;Estadual;8
1100049;11026235;Rural;Municipal;4
1100049;11026294;Rural;Municipal;4
1100049;11026324;Urbana;Privada;4,1
1100049;11026367;Rural;Municipal;4
1100049;11026464;Urbana;Estadual;4
1100049;11026499;Urbana;Estadual;4
1100049;11026545;Urbana;Estadual;4
1100049;11026685;Rural;Municipal;4
1100049;11026758;Urbana;Estadual;4
1100049;11026766;Rural;Municipal;4
1100049;11026812;Rural;Municipal;4
1100049;11026936;Rural;Municipal;4
1100049;11026960;Rural;Municipal;4
1100049;11027088;Rural;Municipal;4
1100049;11027142;Rural;Estadual;4
1100049;11027290;Urbana;Privada;5,3
1100049;11027312;Urbana;Estadual;4
1100049;11027320;Urbana;Estadual;4
1100049;11027347;Urbana;Estadual;4
1100049;11027355;Rural;Privada;7,5
1100049;11027401;Urbana;Estadual;9
1100049;11043342;Urbana;Municipal;4
1100049;11049723;Urbana;Privada;5,4
1100049;11050373;Urbana;Privada;4,5
1100056;11034777;Urbana;Estadual;4
1100056;11035056;Urbana;Estadual;4
1100056;11037075;Urbana;Privada;4,3
1100064;11035188;Rural;Municipal;4
1100064;11035277;Rural;Municipal;4
1100064;11035404;Rural;Municipal;4
1100064;11035773;Rural;Municipal;4
1100064;11035951;Urbana;Estadual;4
1100064;11035960;Urbana;Estadual;4
1100072;11036125;Rural;Estadual;4
1100072;11036397;Rural;Estadual;4
1100072;11036575;Urbana;Estadual;4
1100080;11005769;Urbana;Estadual;4,3
1100080;11005823;Urbana;Estadual;2,9
1100080;11005858;Urbana;Municipal;4
1100080;11041420;Rural;Municipal;4,4
1100080;11047216;Rural;Estadual;4,3
1100098;11027487;Rural;Municipal;4,3
1100098;11027533;Rural;Municipal;4,3
1100098;11027690;Urbana;Estadual;4
1100098;11027754;Urbana;Estadual;4
1100098;11027762;Urbana;Estadual;4
1100098;11027878;Urbana;Estadual;4
1100098;11027886;Rural;Municipal;4,3
1100098;11028335;Urbana;Municipal;4,3
1100098;11038578;Urbana;Privada;5,1
1100106;11005890;Rural;Estadual;4,3
1100106;11005912;Rural;Estadual;4,3
1100106;11005939;Urbana;Estadual;4,3
1100106;11005980;Urbana;Estadual;4,3
1100106;11006072;Rural;Estadual;4,3
1100106;11006129;Rural;Estadual;4,3
1100106;11006234;Rural;Estadual;4,3
1100106;11006293;Rural;Estadual;4,3
1100106;11006366;Rural;Estadual;4,3
1100106;11006390;Rural;Estadual;4,3
1100106;11006412;Rural;Estadual;4,3
1100106;11006420;Urbana;Estadual;4
1100106;11006579;Rural;Estadual;4,3
1100106;11006595;Urbana;Privada;5,3
1100106;11006617;Urbana;Estadual;4,3
1100106;11006633;Urbana;Estadual;4
1100106;11006684;Urbana;Estadual;4
1100106;11041846;Rural;Estadual;4,3
1100106;11042842;Rural;Estadual;4,3
1100106;11042850;Rural;Estadual;4,3
1100106;11043490;Rural;Estadual;4,3
1100106;11046805;Urbana;Privada;4
1100106;11048930;Rural;Estadual;4,3
1100106;11049642;Rural;Estadual;4,3
1100106;11067810;Rural;Estadual;4,3
1100106;11089806;Urbana;Estadual;4
1100106;11091800;Rural;Estadual;4,3
1100114;11011661;Urbana;Estadual;4
1100114;11012099;Urbana;Estadual;4
1100114;11012145;Urbana;Estadual;4
