Cod Cidade;Cod Escola;Rede;Aprov 6 a 9 2019;Aprov 6 2019;Aprov 7 2019;Aprov 8 2019;Aprov 9 2019;Indice Rend 2019;SAEB Mat 2019;SAEB Port 2019;SAEB NMP 2019;IDEB 2019
1100015;11024828;Municipal;89,1;97,1;76;84,6;100;0,883453;244,94;239,76;4,745;4,2
1100015;11025280;Municipal;90;86,7;100;83,3;100;0,91872;241,78;240,09;4,697833;4,3
1100015;11025310;Municipal;81;79,1;77,8;80;93,3;0,821122;265,14;276,42;5,692667;4,7
1100015;11025352;Municipal;92,2;100;75;100;90,9;0,902233;237,89;252,54;4,8405;4,4
1100015;11025638;Estadual;94,8;90,7;95;93,2;97,5;0,940342;273,59;268,37;5,699333;5,4
1100023;11006773;Estadual;88,6;86,7;90,7;91,1;86,4;0,886713;257,19;251,32;5,141833;4,6
1100023;11006846;Estadual;98,3;98,5;98,7;98,2;97,4;0,981975;285,69;285,54;6,187167;6,1
1100023;11006854;Municipal;83,8;81,3;85,4;81,6;88;0,839837;245,92;244,61;4,842167;4,1
1100023;11006889;Estadual;94,4;96,1;92,9;93,1;95,9;0,944761;260,36;257,91;5,3045;5
1100023;11006900;Municipal;91,9;88,9;89,7;95;95,7;0,922243;238,77;235,78;4,575833;4,2
1100023;11007168;Estadual;82,5;88,6;81,4;72;85,1;0,812819;268,74;270,46;5,653333;4,6
1100023;11007249;Municipal;93,1;91,7;85;94,1;100;0,923855;282,54;246,59;5,4855;5,1
1100023;11007346;Municipal;94,6;96,6;86,4;100;95,2;0,942724;259,14;223,54;4,711333;4,4
1100023;11007524;Estadual;100;100;100;100;100;1;280,29;282,09;6,039667;6
1100023;11007702;Municipal;83,6;89,4;81,6;73,9;84,6;0,819795;250,59;265,5;5,268167;4,3
1100023;11007834;Municipal;91,3;97,6;78;92;100;0,910416;263,24;244,59;5,1305;4,7
1100023;11041986;Municipal;93,5;92,3;92,3;90;100;0,935025;262,68;277,94;5,677;5,3
1100023;11048620;Estadual;86;76,7;84,6;97,8;96,7;0,880585;273,37;269,82;5,719833;5
1100023;11050233;Estadual;96,2;98,9;90,9;96,3;98,2;0,959697;258,18;235,5;4,894667;4,7
1100031;11034270;Estadual;100;100;100;100;100;1;279,37;265,83;5,753333;5,8
1100031;11034440;Estadual;97,6;100;96,2;100;92,8;0,971561;242,44;241,04;4,724667;4,6
1100049;11025999;Municipal;95,7;100;90;100;94,4;0,959133;242,02;257,92;4,999;4,8
1100049;11026014;Estadual;98,9;97;100;100;100;0,992327;246,75;255,57;5,038667;5
1100049;11026073;Estadual;94,7;95,9;90,2;94,8;98,5;0,947535;272,99;271,02;5,7335;5,4
1100049;11026197;Estadual;94,8;98,2;90,7;90,6;98,5;0,94343;259,94;255,83;5,262833;5
1100049;11026235;Municipal;97,3;96,8;96;96,8;100;0,973761;245,23;249,48;4,911833;4,8
1100049;11026294;Municipal;96,3;89,5;100;100;100;0,971506;270,77;253,22;5,399833;5,2
1100049;11026367;Municipal;100;100;100;100;100;1;260,13;252,73;5,214333;5,2
1100049;11026464;Estadual;98,7;98,3;97,3;100;100;0,988865;274,81;271,67;5,774667;5,7
1100049;11026499;Estadual;98,5;97,9;100;98,3;98,3;0,986184;269,71;262,99;5,545;5,5
1100049;11026545;Estadual;95,3;96,2;94,9;92,6;98,2;0,954316;253,18;242,07;4,920833;4,7
1100049;11026685;Municipal;92,3;100;77,8;100;100;0,933413;261,28;260,95;5,3705;5
1100049;11026758;Estadual;100;100;100;100;100;1;263,65;253,98;5,293833;5,3
1100049;11026766;Municipal;100;100;100;100;100;1;226,47;230,84;4,2885;4,3
1100049;11026812;Municipal;100;100;100;100;100;1;258,06;265,46;5,392;5,4
1100049;11026936;Municipal;92,2;95;85,7;85,7;100;0,911919;259,55;247,84;5,123167;4,7
1100049;11026960;Municipal;100;100;100;100;100;1;270;275,91;5,765167;5,8
1100049;11027088;Municipal;96,6;97,3;87,5;100;100;0,959093;265,78;260,04;5,430333;5,2
1100049;11027312;Estadual;98,3;99,3;99,2;94,2;100;0,981189;285,26;280,58;6,097333;6
1100049;11027320;Estadual;99,4;100;98,5;99,3;100;0,994461;269,96;268,93;5,648167;5,6
1100049;11027401;Estadual;90,1;93,3;86;90,7;89,7;0,89848;273,14;257,71;5,514167;5
1100049;11043342;Municipal;83,3;76,8;80,9;91,8;90;0,844129;244,23;230,35;4,576333;3,9
1100056;11034777;Estadual;97,8;96,1;96,1;100;100;0,980112;253,67;246,64;5,005167;4,9
1100056;11035056;Estadual;95,9;97,8;92,5;97,9;95,4;0,958487;280,09;273,2;5,888167;5,6
1100064;11035188;Municipal;91,3;83,8;100;96,4;87,5;0,914595;258,91;247,99;5,115;4,7
1100064;11035404;Municipal;84,6;100;81,8;72,7;90,9;0,851404;250,37;251,95;5,038667;4,3
1100064;11035951;Estadual;89,8;89,3;87;90,2;92,7;0,897537;258,61;258,11;5,278667;4,7
1100064;11035960;Estadual;97,6;96,6;99,1;99;96,1;0,97681;271,98;270,23;5,7035;5,6
