codigo;razao_10mais_40menos_2000;razao_20mais_40menos_2000;indigentes_2000;pobres_2000;idhm_renda_2003;idhm_edu_2003
1200013;31,368;20,203;35,497;64,328;0,593;0,74
1200054;23,917;17,411;39,204;66,147;0,565;0,735
1200104;30,282;20,22;43,825;67,282;0,588;0,727
1200138;41,291;25,776;44,632;72,748;0,57;0,64
1200179;16,219;10,746;40,63;71,514;0,555;0,628
1200203;26,06;16,963;37,903;62,834;0,598;0,721
1200252;18,349;11,964;32,428;63,946;0,591;0,761
1200302;37,523;24,979;60,726;86,246;0,468;0,472
1200328;129,334;80,245;84,886;95,108;0,364;0,425
1200336;45,565;29,918;52,501;76,743;0,533;0,708
1200344;47,136;30,452;56,459;75,041;0,527;0,593
1200351;437,697;293,19;66,818;87,104;0,431;0,483
1200385;16,315;11,382;36,331;67,999;0,564;0,764
1200393;12,939;9,371;52,808;81,132;0,481;0,495
1200401;27,048;17,637;19,804;42,265;0,704;0,86
1200427;30,912;23,605;59,394;81,434;0,47;0,536
1200435;28,912;19,257;59,144;88,842;0,409;0,528
1200450;19,874;13,696;27,512;57,724;0,612;0,766
1200500;27,94;18,239;48,799;73,056;0,554;0,678
1200609;45,438;29,78;59,733;80,73;0,528;0,601
1200708;17,915;12,697;38,287;68,549;0,576;0,721
1200807;18,598;13,049;35,046;64,724;0,558;0,712
2700102;52,836;35,735;73,566;87,694;0,482;0,633
2700201;24,364;15,846;56,753;83,346;0,515;0,651
2700300;21,714;14,45;37,382;64,723;0,584;0,734
2700409;17,735;12,021;53,309;83,499;0,496;0,585
2700508;14,186;10,659;55,961;82,065;0,478;0,636
2700607;15,529;10,283;36,212;71,286;0,556;0,677
2700706;31,435;18,626;50,013;82,537;0,572;0,634
2700805;28,185;19,831;67,397;85,804;0,482;0,663
2700904;19,524;14,057;67,349;89,736;0,455;0,612
2701001;20,369;13,429;50,349;81,495;0,514;0,7
2701100;22,887;14,91;62,815;88,901;0,452;0,513
2701209;56,168;34,953;73,666;90,947;0,481;0,571
2701308;13,484;10,152;58,587;86,435;0,465;0,585
2701357;16,082;11,928;53,734;80,952;0,489;0,657
2701407;14,711;10,103;52,705;85,444;0,473;0,649
2701506;423,043;267,075;70,83;88,874;0,452;0,552
2701605;117,285;78,525;79,328;92,895;0,402;0,568
2701704;20,841;14,062;66,516;87,645;0,487;0,594
2701803;16,037;12,79;72,151;86,713;0,46;0,675
2701902;22,566;14,821;68,021;89,588;0,462;0,607
2702009;22,197;15,036;69,642;89,529;0,464;0,607
2702108;16,47;12,099;57,239;83,829;0,496;0,64
2702207;37,58;25,073;48,095;73,774;0,532;0,664
2702306;21,25;14,098;47,556;74,991;0,528;0,68
2702355;18,062;13,829;67,733;86,251;0,45;0,571
2702405;27,215;17,813;48,25;72,755;0,558;0,719
2702504;18,099;12,365;62,486;86,077;0,489;0,571
2702553;41,624;30,118;73,936;93,079;0,428;0,598
2702603;28,922;18,995;66,203;87,225;0,478;0,575
2702702;8,433;6,614;57,841;84,874;0,492;0,649
2702801;13,456;9,428;56,332;86,697;0,468;0,587
2702900;34,048;23,053;74,874;90,09;0,441;0,583
2703007;16,352;11,599;60,5;84,027;0,486;0,57
2703106;66,948;48,073;73,455;91,139;0,419;0,601
2703205;40,2;27,687;70,207;89,092;0,449;0,609
2703304;130,645;84,068;79,153;93,204;0,427;0,55
2703403;34,631;19,693;62,117;88,797;0,537;0,611
2703502;28,259;20,3;68,124;87,831;0,45;0,559
2703601;23,47;15,088;53,453;82,579;0,507;0,633
2703700;8,717;6,301;57,317;88,739;0,478;0,634
2703759;;;;;;
2703809;19,884;13,516;65,834;91,079;0,459;0,557
2703908;11,798;8,697;58,6;87,266;0,461;0,587
2704005;27,592;18,637;60,967;84,473;0,507;0,665
2704104;12,6;9,152;61,48;86,13;0,461;0,644
2704203;21,949;14,483;62,651;90,595;0,465;0,606
2704302;39,392;25,087;26,708;51,537;0,715;0,834
2704401;20,529;14,543;60,543;86,29;0,464;0,582
2704500;21,553;14,852;55,673;83,087;0,488;0,656
2704609;54,98;40,872;70,563;89;0,42;0,605
2704708;25,57;16,24;44,769;75,554;0,559;0,688
2704807;26,973;17,593;54,813;81,601;0,542;0,688
2704906;25,99;18,739;64,425;87,031;0,486;0,671
2705002;57,875;37,266;77,68;89,963;0,459;0,575
2705101;13,791;9,795;54,658;82,901;0,471;0,622
2705200;18,994;13,112;53,949;81,766;0,492;0,656
2705309;11,632;8,907;62,124;85,234;0,466;0,568
2705408;94,947;54,299;73,657;90,611;0,506;0,594
2705507;18,147;11,97;50,614;83,55;0,498;0,628
2705606;19,046;13,214;61,438;84,687;0,47;0,577
2705705;31,816;21,083;62,655;83,762;0,528;0,656
2705804;128,468;93,188;72,896;89,465;0,427;0,612
2705903;91,59;62,012;79,418;92,161;0,42;0,554
2706000;65,973;45,41;82,603;95,173;0,41;0,624
2706109;26,291;18,818;64,636;84,816;0,473;0,699
2706208;18,054;13,333;68,394;86,687;0,463;0,681
2706307;24,193;16,495;46,747;71,73;0,568;0,714
2706406;63,163;38,66;69,505;86,397;0,515;0,662
2706422;65,447;45,9;79,629;92,513;0,435;0,614
2706448;23,869;15,403;50,327;78,883;0,515;0,695
2706505;15,784;11,214;64,519;90,346;0,477;0,594
2706604;28,288;20,356;67,302;87,261;0,474;0,659
2706703;33,008;20,286;50,118;75,294;0,58;0,742
2706802;20,017;13,706;56,486;81,054;0,51;0,67
2706901;16,547;11,483;47,042;77,418;0,522;0,657
2707008;15,329;10,65;64,92;87,14;0,474;0,562
2707107;157,09;96,865;64,693;83,569;0,523;0,661
2707206;115,566;78,205;86,61;96,169;0,378;0,603
2707305;19,736;13,801;60,321;83,28;0,478;0,641
2707404;31,164;19,989;71,088;92,034;0,433;0,548
2707503;92,499;64,452;68,97;84,619;0,459;0,621
2707602;31,078;19,798;62,133;88,261;0,493;0,585
2707701;17,217;12,231;37,39;65,612;0,561;0,738
2707800;21,035;14,281;57,62;84,356;0,469;0,555
2707909;18,203;11,743;48,953;78,36;0,516;0,726
2708006;53,287;33,141;65,747;84,663;0,532;0,679
2708105;17,664;12,19;63,679;86,57;0,471;0,557
2708204;26,279;18,044;69,879;88,293;0,469;0,648
2708303;28,482;17,951;63,905;84,527;0,515;0,609
2708402;299,467;196,234;83,118;92,173;0,403;0,61
2708501;15,449;10,784;53,891;83,647;0,482;0,562
2708600;16,053;11,006;35,92;72,353;0,574;0,72
2708709;28,293;19,054;55,099;82,681;0,504;0,644
2708808;43,494;27,346;70,356;88,309;0,484;0,581
2708907;18,248;13,105;38,306;64,636;0,585;0,798
2708956;;;82,379;93,051;0,394;0,611
2709004;59,537;40,653;70,239;89,101;0,473;0,618
2709103;36,135;24,957;67,111;82,19;0,466;0,613
2709152;34,454;21,644;58,692;82,831;0,51;0,651
2709202;199,285;128,438;82,571;92,584;0,397;0,526
2709301;20,297;13,68;52,375;79,436;0,526;0,619
2709400;43,364;27,703;62,051;82,068;0,526;0,653
1300029;19,764;13,675;42,122;67,339;0,528;0,739
1300060;219,662;146,295;61,824;85,953;0,477;0,714
1300086;74,505;46,743;58,173;78,985;0,536;0,741
1300102;22,503;15,012;48,965;77,3;0,526;0,7
1300144;460,11;279,717;53,197;73,496;0,585;0,778
1300201;;;62,964;79,343;0,493;0,518
1300300;38,577;25,292;60,835;82,472;0,519;0,77
1300409;217,532;159,016;58,65;76,235;0,479;0,537
1300508;26,684;19,463;61,956;81,002;0,461;0,782
1300607;46,145;29,837;60,38;83,788;0,496;0,746
1300631;36,901;24,474;63,534;85,563;0,477;0,605
1300680;76,53;52,168;62,218;87,828;0,458;0,85
1300706;31,356;21,38;52,515;76,175;0,529;0,637
1300805;47,169;31,187;71,914;87,207;0,458;0,734
1300839;16,134;11,427;54,372;79,414;0,5;0,717
1300904;358,583;222,722;70,488;86,022;0,467;0,568
1301001;189,685;112,068;64,723;84,469;0,507;0,615
1301100;51,339;34,268;32,029;65,535;0,488;0,709
1301159;17,888;11,925;53,848;82,891;0,513;0,746
1301209;21,602;14,478;51,187;78,568;0,507;0,672
1301308;15,642;11,484;58,23;86,077;0,484;0,679
1301407;41,734;26,857;62,2;80,306;0,482;0,582
1301506;248,898;173,168;72,754;86,465;0,403;0,489
1301605;58,038;40,046;71,388;90,912;0,405;0,588
1301654;;;75,793;90,182;0,375;0,52
1301704;53,652;34,302;48,719;69,401;0,591;0,745
1301803;95,779;63,86;78,161;91,871;0,387;0,509
1301852;17,55;11,958;36,933;70,566;0,563;0,766
1301902;24,686;15,914;41,807;71,705;0,568;0,825
1301951;53,188;34,966;74,491;88,078;0,42;0,448
1302009;21,402;15,248;55,093;78,381;0,5;0,867
1302108;27,776;19,581;52,303;82,362;0,441;0,609
1302207;83,073;50,605;66,972;85,286;0,492;0,581
1302306;;;53,2;87,96;0,458;0,537
1302405;62,888;40,5;66,548;86,253;0,473;0,633
1302504;24,208;16,422;45,442;71,964;0,544;0,761
1302553;80,926;51,026;55,095;75,614;0,558;0,761
1302603;30,813;19,997;22,64;46,019;0,703;0,909
1302702;28,952;19,578;60,705;82,286;0,483;0,687
1302801;24,317;16,559;60,635;88,497;0,447;0,586
1302900;37,645;23,07;55,407;82,615;0,535;0,812
1303007;16,757;11,864;57,586;81,866;0,48;0,806
1303106;63,922;40,188;62,868;83,442;0,484;0,723
1303205;17,756;11,692;46,745;76,983;0,53;0,771
1303304;34,622;21,999;65,52;85,959;0,482;0,703
1303403;27,195;17,559;53,232;77,962;0,527;0,855
1303502;349,798;218,305;67,974;81,677;0,49;0,502
1303536;30,416;19,716;29,338;55,714;0,647;0,858
1303569;21,677;14,165;41,696;74,559;0,554;0,758
1303601;2631,827;1820,29;64,62;82,788;0,445;0,628
1303700;278,119;190,781;70,767;85,192;0,414;0,557
1303809;;;52,41;74,838;0,552;0,74
1303908;61,316;39,327;70,533;87,805;0,428;0,576
1303957;17,399;12,049;54,325;79,572;0,489;0,828
1304005;20,835;14,884;53,894;83,329;0,489;0,856
1304062;32,161;21,512;37,661;63,85;0,6;0,78
1304104;41,673;27,62;69,976;89,429;0,418;0,512
1304203;21,808;14,23;32,625;65,757;0,569;0,75
1304237;16,291;11,412;58,833;84,73;0,451;0,663
1304260;16,508;11,93;48,915;64,457;0,489;0,644
1304302;55,06;30,529;53,146;80,582;0,589;0,8
1304401;38,01;25,723;64,067;86,863;0,469;0,828
1600055;52,106;33,741;40,449;66,345;0,605;0,897
1600105;27,314;19,276;39,905;63,84;0,592;0,84
1600154;106,619;69,28;53,043;76,836;0,521;0,758
1600204;30,234;21,793;42,942;67,302;0,593;0,836
1600212;30,146;19,847;56,526;81,555;0,499;0,829
1600238;13,476;10,1;39,201;71,538;0,553;0,854
1600253;22,783;14,414;52,108;79,982;0,51;0,82
1600279;22,314;14,569;27,475;53,411;0,617;0,852
1600303;27,931;18,885;22,934;45,264;0,697;0,904
1600402;33,214;22,203;49,713;76,395;0,519;0,73
1600501;37,24;24,486;26,635;52,171;0,7;0,817
1600535;30,735;20,858;35,723;61,029;0,605;0,823
1600550;22,209;13,965;47,397;76,026;0,527;0,82
1600600;29,953;19,526;33,896;63,14;0,622;0,875
1600709;29,826;20,136;46,637;74,965;0,524;0,808
1600808;33,702;22,45;38,647;64,849;0,566;0,808
2900108;17,998;12,293;45,006;75,008;0,545;0,768
2900207;19,876;13,615;56,677;83,298;0,504;0,707
2900306;26,362;18,564;63,519;83,576;0,505;0,743
2900355;13,377;9,536;47,846;80,438;0,516;0,615
2900405;18,195;12,974;69,733;89,688;0,451;0,672
2900504;28,698;20,113;62,44;85,129;0,492;0,613
2900603;17,626;12,318;54,004;81,53;0,517;0,737
2900702;25,031;17,135;32,265;56,896;0,641;0,873
2900801;20,441;13,657;37,051;67,374;0,567;0,741
2900900;14,491;9,659;52,851;85,611;0,514;0,699
2901007;19,139;12,602;42,037;72,543;0,577;0,745
2901106;20,075;13,002;33,727;65,387;0,58;0,841
2901155;20,606;14,924;62,24;87,223;0,47;0,701
2901205;24,124;17,821;62,401;83,963;0,462;0,647
2901304;39,225;24,726;62,392;85,373;0,509;0,685
2901353;24,122;16,59;62,105;82,32;0,496;0,649
2901403;14,297;10,271;58,435;81,824;0,485;0,704
2901502;18,893;13,667;58,652;85,762;0,485;0,769
2901601;11,888;8,523;42,321;75,849;0,541;0,736
2901700;17,77;12,282;60,656;85,403;0,49;0,725
2901809;18,258;13,19;57,304;82,231;0,498;0,773
2901908;25,372;18,183;63,405;85,588;0,486;0,668
2901957;15,954;10,869;57,027;85,682;0,487;0,715
2902005;25,159;19,17;65,098;82,734;0,477;0,65
2902054;19,046;13,449;61,78;87,151;0,463;0,727
2902104;25,245;17,038;69,258;88,828;0,454;0,614
2902203;29,694;20,251;56,353;79,415;0,533;0,688
2902252;11,556;8,53;58,542;86,674;0,489;0,675
2902302;18,818;12,25;55,89;85,569;0,501;0,7
2902401;13,118;9,333;60,268;89,944;0,465;0,687
2902500;205,908;122,78;74,499;89,728;0,498;0,655
2902609;20,524;14,656;54,818;83,197;0,49;0,755
2902658;11,747;9,262;60,279;84,578;0,483;0,728
2902708;103,056;72,228;71,253;87,178;0,446;0,663
2902807;13,113;8,977;40,694;75,987;0,535;0,689
2902906;5,862;4,574;32,323;78,875;0,486;0,681
2903003;18,146;12,652;50,543;79,229;0,523;0,804
2903102;18,726;12,03;63,411;87,982;0,499;0,669
2903201;27,366;17,404;23,076;48,035;0,68;0,845
2903235;12,204;9,437;53,697;81,37;0,496;0,785
2903276;;;;;;
2903300;12,784;8,838;51,278;82,935;0,513;0,735
2903409;22,331;14,341;49,362;73,924;0,564;0,705
2903508;17,382;12,029;50,521;74,925;0,539;0,69
2903607;21,968;14,143;62,929;87,484;0,502;0,682
2903706;33,071;23,063;72,281;92,417;0,44;0,605
2903805;28,395;19,983;68,784;88,618;0,454;0,72
2903904;37,543;24,375;46,929;71,259;0,579;0,773
2903953;25,707;19,503;69,72;90,245;0,434;0,669
2904001;41,036;29,598;60,05;82,363;0,497;0,75
2904050;7,776;6,044;43,086;75,211;0,496;0,726
2904100;46,347;31,351;65,575;83,075;0,506;0,717
2904209;697,957;517,036;71,759;87,754;0,444;0,724
2904308;10,941;7,697;34,162;77,102;0,542;0,706
2904407;22,28;17,439;63,431;84,907;0,461;0,745
2904506;155,756;105,331;74,941;91,001;0,467;0,769
2904605;23,301;15,512;39,053;64,344;0,592;0,785
2904704;17,129;11,973;49,201;79,311;0,518;0,743
2904753;;;81,74;90,822;0,391;0,704
2904803;7,352;5,203;44,132;87,138;0,478;0,693
2904852;36,335;25,924;69,097;86,378;0,469;0,676
2904902;24,1;15,903;44,253;71,599;0,571;0,796
2905008;49,872;30,41;47,425;75,897;0,604;0,759
2905107;26,342;19,362;67,007;83,934;0,472;0,7
2905156;49,882;37,832;66,958;86,577;0,461;0,63
2905206;46,006;28,802;57,786;76,535;0,555;0,738
2905305;23,064;15,732;55,394;80,025;0,516;0,738
2905404;13,416;9,926;48,653;78,76;0,515;0,708
2905503;45,931;30,431;72,355;92,239;0,459;0,737
2905602;25,095;16,808;50,066;80,006;0,553;0,73
2905701;22,964;15,057;29,013;59,278;0,623;0,873
2905800;25,078;16,573;63,781;84,648;0,502;0,675
2905909;34,005;23,139;71,324;89,309;0,464;0,651
2906006;37,612;24,208;60,869;81,075;0,526;0,715
2906105;25,887;17,074;64,403;87,287;0,499;0,705
2906204;28,381;19,274;54,289;75,367;0,52;0,761
2906303;23,735;14,95;41,713;74,743;0,573;0,718
2906402;15,714;11,52;59,666;85,805;0,487;0,714
2906501;19,558;13,546;32,716;56,014;0,608;0,866
2906600;22,073;15,751;59,085;81,867;0,495;0,706
2906709;18,331;12,032;41,564;67,683;0,559;0,71
2906808;58,454;38,691;75,696;91,471;0,446;0,646
2906824;18,153;13,035;52,687;79,326;0,494;0,715
2906857;16,303;11,312;47,929;76,429;0,549;0,681
2906873;21,038;14,255;44,785;74,058;0,551;0,725
2906899;23,91;15,934;59,268;85,706;0,492;0,652
