municipio;pib_2020
Alta Floresta D'Oeste (RO);495628,77
Ariquemes (RO);2578829,73
Cabixi (RO);139959,39
Cacoal (RO);2260643,57
Cerejeiras (RO);506854,46
Colorado do Oeste (RO);334851,27
Corumbiara (RO);349247,37
Costa Marques (RO);238768,54
Espigão D'Oeste (RO);624760,16
Guajará-Mirim (RO);892883,18
Jaru (RO);1500889,69
Ji-Paraná (RO);3782971,68
Machadinho D'Oeste (RO);633006,8
Nova Brasilândia D'Oeste (RO);359524,04
Ouro Preto do Oeste (RO);834168,27
Pimenta Bueno (RO);1163876,98
Porto Velho (RO);17912070,14
Presidente Médici (RO);427751,73
Rio Crespo (RO);111023,3
Rolim de Moura (RO);1283433,65
Santa Luzia D'Oeste (RO);142611,55
Vilhena (RO);2831175,37
São Miguel do Guaporé (RO);615803,84
Nova Mamoré (RO);529261,25
Alvorada D'Oeste (RO);260347,87
Alto Alegre dos Parecis (RO);288681,17
Alto Paraíso (RO);358463,74
Buritis (RO);726030,85
Novo Horizonte do Oeste (RO);165757,5
Cacaulândia (RO);144436,94
Campo Novo de Rondônia (RO);274627,49
Candeias do Jamari (RO);547919,04
Castanheiras (RO);103962,66
Chupinguaia (RO);304759,32
Cujubim (RO);384877,74
Governador Jorge Teixeira (RO);177921,67
Itapuã do Oeste (RO);184014,42
Ministro Andreazza (RO);216408,89
Mirante da Serra (RO);217045,87
Monte Negro (RO);291768,16
Nova União (RO);117333,6
Parecis (RO);107282,71
Pimenteiras do Oeste (RO);116503,31
Primavera de Rondônia (RO);61841,3
São Felipe D'Oeste (RO);89230,43
São Francisco do Guaporé (RO);353247,21
Seringueiras (RO);236311,88
Teixeirópolis (RO);92328,28
Theobroma (RO);191508,53
Urupá (RO);215380,8
Vale do Anari (RO);166785,82
Vale do Paraíso (RO);146563,88
Acrelândia (AC);253609,71
Assis Brasil (AC);93054,15
Brasiléia (AC);454802,57
Bujari (AC);157655,61
Capixaba (AC);153209,71
Cruzeiro do Sul (AC);1440378,53
Epitaciolândia (AC);423163,09
Feijó (AC);356965,45
Jordão (AC);82484,12
Mâncio Lima (AC);205845,37
Manoel Urbano (AC);131564,88
Marechal Thaumaturgo (AC);195237,31
Plácido de Castro (AC);264937,74
Porto Walter (AC);118846,6
Rio Branco (AC);9143620,3
Rodrigues Alves (AC);191533,85
Santa Rosa do Purus (AC);75197,67
Senador Guiomard (AC);361397,53
Sena Madureira (AC);540235,53
Tarauacá (AC);483687,3
Xapuri (AC);275091,05
Porto Acre (AC);227498,9
Alvarães (AM);196046,35
Amaturá (AM);95481,99
Anamã (AM);121824,2
Anori (AM);199543,82
Apuí (AM);227136,74
Atalaia do Norte (AM);150975,74
Autazes (AM);382956,51
Barcelos (AM);190316,24
Barreirinha (AM);279551,56
Benjamin Constant (AM);350837,71
Beruri (AM);166373,5
Boa Vista do Ramos (AM);148983,9
Boca do Acre (AM);428530,25
Borba (AM);327112,83
Caapiranga (AM);169202,39
Canutama (AM);125866,95
Carauari (AM);337837,96
Careiro (AM);329005,86
Careiro da Várzea (AM);314130,79
Coari (AM);2212267,19
Codajás (AM);504601,08
Eirunepé (AM);481801,01
Envira (AM);172573,19
Fonte Boa (AM);187110,87
Guajará (AM);132612,98
Humaitá (AM);698420,78
Ipixuna (AM);173478,79
Iranduba (AM);664199,92
Itacoatiara (AM);2034551,11
Itamarati (AM);102297,69
Itapiranga (AM);129557,21
Japurá (AM);64129,63
Juruá (AM);116498,52
Jutaí (AM);227757,14
Lábrea (AM);506493,61
Manacapuru (AM);1451149,71
Manaquiri (AM);262443,97
Manaus (AM);84867423,38
Manicoré (AM);543050,64
Maraã (AM);138678,08
Maués (AM);541699,68
Nhamundá (AM);167119,15
Nova Olinda do Norte (AM);276297,74
Novo Airão (AM);168559,81
Novo Aripuanã (AM);211909,79
Parintins (AM);1177066,78
Pauini (AM);166411,4
Presidente Figueiredo (AM);957599,38
Rio Preto da Eva (AM);414099,48
Santa Isabel do Rio Negro (AM);152531,16
Santo Antônio do Içá (AM);189423,7
São Gabriel da Cachoeira (AM);357535,23
São Paulo de Olivença (AM);283760,78
São Sebastião do Uatumã (AM);122569,75
Silves (AM);114322,07
Tabatinga (AM);616650,76
Tapauá (AM);194024,68
Tefé (AM);1022966,88
Tonantins (AM);147639,16
Uarini (AM);198160,54
Urucará (AM);303913,89
Urucurituba (AM);184017,42
Amajari (RR);187546,05
Alto Alegre (RR);315398,48
Boa Vista (RR);10571980,09
Bonfim (RR);337914,62
Cantá (RR);293040,83
Caracaraí (RR);377974,72
Caroebe (RR);199389,65
Iracema (RR);162279,07
Mucajaí (RR);319301,11
