municipio;esfera;rend_medio_bruto_2018
Alta Floresta D'Oeste;Municipal;2432,526
Ariquemes;Municipal;3968,638
Cabixi;Municipal;3323,95
Cacoal;Municipal;4281,941
Cerejeiras;Municipal;3807,541
Colorado do Oeste;Municipal;
Corumbiara;Municipal;2920,953
Costa Marques;Municipal;3477,701
Espigão D'Oeste;Municipal;4361,593
Guajará-Mirim;Municipal;3585,273
Jaru;Municipal;3956,96
Ji-Paraná;Municipal;4014,896
Machadinho D'Oeste;Municipal;3026,687
Nova Brasilândia D'Oeste;Municipal;3231,811
Ouro Preto do Oeste;Municipal;3831,087
Pimenta Bueno;Municipal;3786,736
Porto Velho;Municipal;3758,136
Presidente Médici;Municipal;3078,403
Rio Crespo;Municipal;3198,552
Rolim de Moura;Municipal;3594,079
Santa Luzia D'Oeste;Municipal;3173,674
Vilhena;Municipal;3770,785
São Miguel do Guaporé;Municipal;3620,622
Nova Mamoré;Municipal;3113,584
Alvorada D'Oeste;Municipal;2749,782
Alto Alegre dos Parecis;Municipal;3365,636
Alto Paraíso;Municipal;3142,567
Buritis;Municipal;3422,572
Novo Horizonte do Oeste;Municipal;2821,046
Cacaulândia;Municipal;3568,496
Campo Novo de Rondônia;Municipal;3690,343
Candeias do Jamari;Municipal;3725,021
Castanheiras;Municipal;4260,796
Chupinguaia;Municipal;3337,503
Cujubim;Municipal;3805,855
Governador Jorge Teixeira;Municipal;2737,08
Itapuã do Oeste;Municipal;3015,179
Ministro Andreazza;Municipal;3059,935
Mirante da Serra;Municipal;2893,379
Monte Negro;Municipal;2209,441
Nova União;Municipal;3798,871
Parecis;Municipal;3366,697
Pimenteiras do Oeste;Municipal;3191,531
Primavera de Rondônia;Municipal;3186,746
São Felipe D'Oeste;Municipal;3419,216
São Francisco do Guaporé;Municipal;2930,082
Seringueiras;Municipal;4255,652
Teixeirópolis;Municipal;3643,193
Theobroma;Municipal;3086,115
Urupá;Municipal;2893,526
Vale do Anari;Municipal;3685,868
Vale do Paraíso;Municipal;3065,916
Acrelândia;Municipal;
Assis Brasil;Municipal;2437,364
Brasiléia;Municipal;1843,706
Bujari;Municipal;2960,001
Capixaba;Municipal;
Cruzeiro do Sul;Municipal;1990,891
Epitaciolândia;Municipal;2792,563
Feijó;Municipal;2050,687
Jordão;Municipal;
Mâncio Lima;Municipal;2924,527
Manoel Urbano;Municipal;3751,444
Marechal Thaumaturgo;Municipal;1627,464
Plácido de Castro;Municipal;1937,432
Porto Walter;Municipal;1641,773
Rio Branco;Municipal;3949,38
Rodrigues Alves;Municipal;1711,996
Santa Rosa do Purus;Municipal;
Senador Guiomard;Municipal;3334,568
Sena Madureira;Municipal;1559,066
Tarauacá;Municipal;2421,912
Xapuri;Municipal;
Porto Acre;Municipal;
Alvarães;Municipal;1792,691
Amaturá;Municipal;2812,958
Anamã;Municipal;2331,572
Anori;Municipal;3471,119
Apuí;Municipal;4235,731
Atalaia do Norte;Municipal;3319,471
Autazes;Municipal;3134,152
Barcelos;Municipal;3543,256
Barreirinha;Municipal;
Benjamin Constant;Municipal;3894,146
Beruri;Municipal;2435,346
Boa Vista do Ramos;Municipal;2253,514
Boca do Acre;Municipal;1404,661
Borba;Municipal;3505,084
Caapiranga;Municipal;1849,235
Canutama;Municipal;
Carauari;Municipal;3916,737
Careiro;Municipal;5115,531
Careiro da Várzea;Municipal;3833,797
Coari;Municipal;1572,822
Codajás;Municipal;1673,43
Eirunepé;Municipal;
Envira;Municipal;2673,698
Fonte Boa;Municipal;1406,059
Guajará;Municipal;1303,576
Humaitá;Municipal;3618,145
Ipixuna;Municipal;
Iranduba;Municipal;3863,996
Itacoatiara;Municipal;2080,401
Itamarati;Municipal;2541,333
Itapiranga;Municipal;3753,91
Japurá;Municipal;
Juruá;Municipal;1377,928
Jutaí;Municipal;
Lábrea;Municipal;1670,959
Manacapuru;Municipal;4009,853
Manaquiri;Municipal;3408,685
Manaus;Municipal;4760,162
Manicoré;Municipal;
Maraã;Municipal;
Maués;Municipal;2065,416
Nhamundá;Municipal;2242,334
Nova Olinda do Norte;Municipal;3084,309
Novo Airão;Municipal;2272,741
Novo Aripuanã;Municipal;2544,641
Parintins;Municipal;3280,383
Pauini;Municipal;
Presidente Figueiredo;Municipal;4172,615
Rio Preto da Eva;Municipal;
Santa Isabel do Rio Negro;Municipal;1520,652
Santo Antônio do Içá;Municipal;
São Gabriel da Cachoeira;Municipal;3326,178
São Paulo de Olivença;Municipal;4128,13
São Sebastião do Uatumã;Municipal;2083,553
Silves;Municipal;2513,369
Tabatinga;Municipal;3848,155
Tapauá;Municipal;4369,475
Tefé;Municipal;3778,438
Tonantins;Municipal;2949,092
Uarini;Municipal;2300,998
Urucará;Municipal;1984,712
Urucurituba;Municipal;2220,903
Amajari;Municipal;1651,5
Alto Alegre;Municipal;2891,782
Boa Vista;Municipal;4235,088
Bonfim;Municipal;2185,945
Cantá;Municipal;3791,86
Caracaraí;Municipal;2810,559
Caroebe;Municipal;
Iracema;Municipal;2518,993
Mucajaí;Municipal;3202,605
Normandia;Municipal;1796,532
Pacaraima;Municipal;3445,027
Rorainópolis;Municipal;2438,672
São João da Baliza;Municipal;4604,085
São Luiz;Municipal;2758,511
Uiramutã;Municipal;2919,241
Abaetetuba;Municipal;3526,954
Abel Figueiredo;Municipal;4882,511
Acará;Municipal;3126,586
Afuá;Municipal;3085,851
Água Azul do Norte;Municipal;3447,101
Alenquer;Municipal;2633,541
Almeirim;Municipal;4225,097
Altamira;Municipal;2945,337
Anajás;Municipal;3595,836
Ananindeua;Municipal;5775,264
Anapu;Municipal;5475,628
Augusto Corrêa;Municipal;4866,814
Aurora do Pará;Municipal;4099,896
Aveiro;Municipal;3592,712
Bagre;Municipal;
Baião;Municipal;4219,403
Bannach;Municipal;3455,256
Barcarena;Municipal;7564,717
Belém;Municipal;6341,808
Belterra;Municipal;3128,458
Benevides;Municipal;5556,501
Bom Jesus do Tocantins;Municipal;3071,338
Bonito;Municipal;2135,101
Bragança;Municipal;5195,943
Brasil Novo;Municipal;2737,885
Brejo Grande do Araguaia;Municipal;3945,579
Breu Branco;Municipal;14687,74
Breves;Municipal;7935,975
Bujaru;Municipal;3777,06
Cachoeira do Piriá;Municipal;3939,608
Cachoeira do Arari;Municipal;
Cametá;Municipal;4246,546
Canaã dos Carajás;Municipal;8358,37
Capanema;Municipal;3531,247
Capitão Poço;Municipal;1916,792
Castanhal;Municipal;5144,087
Chaves;Municipal;3282,143
Colares;Municipal;4036,357
Conceição do Araguaia;Municipal;4605,602
Concórdia do Pará;Municipal;6439,825
Cumaru do Norte;Municipal;5256,278
Curionópolis;Municipal;5252,685
Curralinho;Municipal;3539,744
Curuá;Municipal;3576,4
Curuçá;Municipal;3427,712
Dom Eliseu;Municipal;2767,833
Eldorado do Carajás;Municipal;4862,554
Faro;Municipal;3173,499
Floresta do Araguaia;Municipal;3484,611
Garrafão do Norte;Municipal;3581,871
Goianésia do Pará;Municipal;3196,073
